tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
Aether,files-100-500,website-start.de,files-100-500/website-start.de,A_UPDATE,ok,,s278642480.website-start.de..txt,,118.06300000000002,1.1099999999999999,,,,,num_lec=1899; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__website-start.de/A_UPDATE/stderr.log
Aether,files-100-500,website-start.de,files-100-500/website-start.de,NS_UPDATE,ok,,s278642480.website-start.de..txt,,98.568,0.5650000000000001,,,,,num_lec=1899; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__website-start.de/NS_UPDATE/stderr.log
Aether,files-100-500,website-start.de,files-100-500/website-start.de,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,webwealth.us,files-100-500/webwealth.us,A_ADD,ok,,123freedom.webwealth.us..txt,,37.761,0.365,,,,,num_lec=607; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webwealth.us/A_ADD/stderr.log
Aether,files-100-500,webwealth.us,files-100-500/webwealth.us,A_UPDATE,ok,,123freedom.webwealth.us..txt,,35.879999999999995,0.20600000000000002,,,,,num_lec=606; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webwealth.us/A_UPDATE/stderr.log
Aether,files-100-500,webwealth.us,files-100-500/webwealth.us,NS_UPDATE,ok,,webwealth.us..txt,,35.031,0.16,,,,,num_lec=606; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webwealth.us/NS_UPDATE/stderr.log
Aether,files-100-500,webwealth.us,files-100-500/webwealth.us,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,wednet.edu,files-100-500/wednet.edu,A_ADD,ok,,aasd.wednet.edu..txt,,129.904,0.743,,,,,num_lec=1425; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wednet.edu/A_ADD/stderr.log
Aether,files-100-500,wednet.edu,files-100-500/wednet.edu,A_UPDATE,ok,,aasd.wednet.edu..txt,,133.205,0.441,,,,,num_lec=1424; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wednet.edu/A_UPDATE/stderr.log
Aether,files-100-500,wednet.edu,files-100-500/wednet.edu,NS_UPDATE,ok,,aasd.wednet.edu..txt,,115.399,0.803,,,,,num_lec=1424; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wednet.edu/NS_UPDATE/stderr.log
Aether,files-100-500,wednet.edu,files-100-500/wednet.edu,CNAME_UPDATE,ok,,bham.wednet.edu..txt,,130.049,1.303,,,,,num_lec=1424; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wednet.edu/CNAME_UPDATE/stderr.log
Aether,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,A_ADD,ok,,a-direct-consolidation-loan.wendellbennett.com..txt,,39.588,0.598,,,,,num_lec=649; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wendellbennett.com/A_ADD/stderr.log
Aether,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,A_UPDATE,ok,,a-direct-consolidation-loan.wendellbennett.com..txt,,37.705000000000005,0.406,,,,,num_lec=648; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wendellbennett.com/A_UPDATE/stderr.log
Aether,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,NS_UPDATE,ok,,a-direct-consolidation-loan.wendellbennett.com..txt,,40.956,0.468,,,,,num_lec=648; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wendellbennett.com/NS_UPDATE/stderr.log
Aether,files-100-500,wendellbennett.com,files-100-500/wendellbennett.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,wertot.com,files-100-500/wertot.com,A_ADD,ok,,0o8up.wertot.com..txt,,38.983,0.29800000000000004,,,,,num_lec=786; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wertot.com/A_ADD/stderr.log
Aether,files-100-500,wertot.com,files-100-500/wertot.com,A_UPDATE,ok,,0o8up.wertot.com..txt,,39.111999999999995,0.12200000000000001,,,,,num_lec=785; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wertot.com/A_UPDATE/stderr.log
Aether,files-100-500,wertot.com,files-100-500/wertot.com,NS_UPDATE,ok,,wertot.com..txt,,37.891,0.19,,,,,num_lec=785; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wertot.com/NS_UPDATE/stderr.log
